,date,timeGMT,tempIMU_C,lat,lon
0,2021-01-10,142807.000,39.17,-40.584344,-64.997069
1763,2021-01-10,143314.828,39.86,-40.584337,-64.996771
1764,2021-01-10,143315.000,39.8,-40.584337,-64.996771
3455,2021-01-10,143811.825,39.91,-40.584321,-64.996743
3456,2021-01-10,143812.000,39.85,-40.584321,-64.996743
5183,2021-01-10,144312.827,38.05,-40.584286,-64.996668
5184,2021-01-10,144313.000,38.0,-40.584286,-64.996668
6929,2021-01-10,144814.826,41.24,-40.584261,-64.996387
6930,2021-01-10,144815.000,41.19,-40.584261,-64.996387
8657,2021-01-10,145316.827,42.13,-40.584325,-64.996211
8658,2021-01-10,145317.000,42.07,-40.584325,-64.996211
10421,2021-01-10,145823.827,38.76,-40.584276,-64.996204
10422,2021-01-10,145824.000,38.71,-40.584276,-64.996204
12311,2021-01-10,150351.828,37.01,-40.584326,-64.996223
12312,2021-01-10,150352.000,36.95,-40.584326,-64.996223
13859,2021-01-10,150822.824,36.05,-40.584333,-64.99624
13860,2021-01-10,150823.000,35.99,-40.584333,-64.99624
15587,2021-01-10,151323.827,35.79,-40.584346,-64.996235
15588,2021-01-10,151324.000,35.74,-40.584346,-64.996235
17315,2021-01-10,151825.827,35.21,-40.584311,-64.996196
17316,2021-01-10,151826.000,35.15,-40.584311,-64.996196
19061,2021-01-10,152327.826,34.78,-40.584348,-64.996252
19062,2021-01-10,152328.000,34.72,-40.584348,-64.996252
20789,2021-01-10,152830.824,34.21,-40.584544,-64.996309
20790,2021-01-10,152831.000,34.16,-40.584544,-64.996309
22517,2021-01-10,153331.827,34.06,-40.584322,-64.99618
22518,2021-01-10,153332.000,34.01,-40.584322,-64.99618
24299,2021-01-10,153842.825,33.98,-40.58438,-64.996167
24300,2021-01-10,153843.000,33.93,-40.58438,-64.996167
26045,2021-01-10,154344.826,34.31,-40.584371,-64.996232
26046,2021-01-10,154345.000,34.25,-40.584371,-64.996232
27773,2021-01-10,154848.824,33.99,-40.584344,-64.996223
27774,2021-01-10,154849.000,33.94,-40.584344,-64.996223
29447,2021-01-10,155344.826,34.01,-40.584392,-64.996236
29448,2021-01-10,155345.000,33.97,-40.584392,-64.996236
31157,2021-01-10,155841.826,33.76,-40.584318,-64.996214
31158,2021-01-10,155842.000,33.7,-40.584318,-64.996214
32903,2021-01-10,160345.824,33.75,-40.58433,-64.996196
32904,2021-01-10,160346.000,33.71,-40.58433,-64.996196
34703,2021-01-10,160858.827,33.95,-40.584353,-64.996235
34704,2021-01-10,160859.000,33.9,-40.584353,-64.996235
36359,2021-01-10,161348.825,34.03,-40.584397,-64.996248
36360,2021-01-10,161349.000,33.97,-40.584397,-64.996248
38123,2021-01-10,161855.827,34.29,-40.584453,-64.996221
38124,2021-01-10,161856.000,34.23,-40.584453,-64.996221
39833,2021-01-10,162354.826,34.44,-40.584204,-64.996251
39834,2021-01-10,162355.000,34.38,-40.584204,-64.996251
41597,2021-01-10,162902.825,34.63,-40.58429,-64.996235
41598,2021-01-10,162903.000,34.59,-40.58429,-64.996235
43469,2021-01-10,163426.826,35.39,-40.58433,-64.996192
43470,2021-01-10,163427.000,35.35,-40.58433,-64.996192
45017,2021-01-10,163857.824,35.52,-40.584304,-64.996103
45018,2021-01-10,163858.000,35.47,-40.584304,-64.996103
