,date,timeGMT,tempIMU_C,lat,lon
0,2021-01-10, 143948.000,35.39,-40.584146,-64.997857
3473,2021-01-10, 144950.828,32.78,-40.584135,-64.997869
3474,2021-01-10, 144951.000,32.74,-40.584135,-64.997869
6965,2021-01-10, 145957.824,32.01,-40.584151,-64.997864
6966,2021-01-10, 145958.000,31.97,-40.584151,-64.997864
10421,2021-01-10, 151000.827,32.12,-40.584156,-64.997871
10422,2021-01-10, 151001.000,32.07,-40.584156,-64.997871
13985,2021-01-10, 152020.825,32.46,-40.58416,-64.997869
13986,2021-01-10, 152021.000,32.43,-40.58416,-64.997869
17459,2021-01-10, 153024.825,33.19,-40.58421,-64.997887
17460,2021-01-10, 153025.000,33.15,-40.58421,-64.997887
20789,2021-01-10, 154003.826,33.49,-40.584164,-64.997861
20790,2021-01-10, 154004.000,33.45,-40.584164,-64.997861
24263,2021-01-10, 155005.825,33.11,-40.584159,-64.997845
24264,2021-01-10, 155006.000,33.06,-40.584159,-64.997845
27773,2021-01-10, 160017.824,33.47,-40.584178,-64.997855
27774,2021-01-10, 160018.000,33.42,-40.584178,-64.997855
31211,2021-01-10, 161015.827,33.7,-40.584174,-64.997849
31212,2021-01-10, 161016.000,33.66,-40.584174,-64.997849
34649,2021-01-10, 162014.826,34.57,-40.584172,-64.99786
34650,2021-01-10, 162015.000,34.52,-40.584172,-64.99786
38123,2021-01-10, 163018.825,35.65,-40.584179,-64.997872
38124,2021-01-10, 163019.000,35.6,-40.584179,-64.997872
41615,2021-01-10, 164026.823,35.22,-40.584174,-64.997871
41616,2021-01-10, 164027.000,35.17,-40.584174,-64.997871
45071,2021-01-10, 165028.828,34.01,-40.584165,-64.997861
45072,2021-01-10, 165029.000,33.96,-40.584165,-64.997861
48545,2021-01-10, 170031.828,34.0,-40.58419,-64.9979
48546,2021-01-10, 170032.000,33.96,-40.58419,-64.9979
51983,2021-01-10, 171030.825,34.84,-40.584142,-64.997837
51984,2021-01-10, 171031.000,34.8,-40.584142,-64.997837
55457,2021-01-10, 172034.825,35.89,-40.584148,-64.997829
55458,2021-01-10, 172035.000,35.85,-40.584148,-64.997829
58931,2021-01-10, 173038.825,36.2,-40.584159,-64.997836
58932,2021-01-10, 173039.000,36.17,-40.584159,-64.997836
62441,2021-01-10, 174048.828,35.99,-40.584182,-64.997853
62442,2021-01-10, 174049.000,35.96,-40.584182,-64.997853
65969,2021-01-10, 175100.827,35.51,-40.584168,-64.997862
65970,2021-01-10, 175101.000,35.47,-40.584168,-64.997862
69299,2021-01-10, 180039.826,35.3,-40.584171,-64.997875
